stadium_code,race_no,race_count,avg_payout,return_rate
17,09,3262,379,378.68
18,10,3349,379,378.66
08,11,3976,379,378.53
15,11,3781,378,378.00
17,12,3604,377,377.21
21,05,3591,377,376.63
01,12,3895,375,375.34
17,11,3365,375,374.61
07,11,3985,374,374.23
17,01,3308,374,373.76
24,06,3810,374,373.61
13,12,3835,373,373.42
07,10,3981,373,372.53
19,10,3331,372,371.95
08,12,4032,372,371.71
20,12,3944,372,371.54
18,02,3286,371,370.76
20,08,3904,370,369.99
15,12,3875,370,369.76
10,12,3778,369,369.33
24,01,3804,368,368.19
21,01,3676,368,367.62
19,07,3324,361,360.90
13,11,3833,361,360.55
22,08,3641,360,360.35
16,11,3608,360,359.58
24,07,3785,359,359.23
14,01,2904,359,358.55
10,01,3740,358,358.44
23,01,3831,358,357.59
19,12,3607,356,356.43
18,11,3358,356,356.24
09,05,3601,356,356.02
19,08,3373,356,355.76
12,11,3911,354,354.15
09,11,3653,352,351.90
12,12,3908,351,351.40
07,12,3992,351,350.98
09,09,3712,350,349.78
09,01,3552,349,348.88
16,01,3509,347,347.24
19,11,3422,346,345.70
24,08,3829,344,344.39
15,08,3784,344,344.35
16,06,3508,344,343.65
18,03,3321,343,343.25
24,05,3845,341,341.38
16,09,3592,341,341.04
16,12,3728,340,340.46
24,11,3836,339,338.60
24,12,3962,338,338.34
19,05,3333,338,337.80
18,04,3336,337,336.82
24,09,3813,336,335.72
19,09,3354,336,335.60
09,12,3769,335,334.51
07,07,3986,329,328.74
18,12,3568,311,311.50
18,01,3367,305,304.74
21,04,3570,302,301.67
